Ngram	Surprisal
some pliers	24.9201622629
pliers and	30.3192686897
and getting	15.6027773341
getting in	21.1097554244
in the	9.36353298464
the way	11.2417029297
way of	16.0813672381
of the	8.38603786038
the 2	15.920577832
2 men	23.0411392023
men .	18.3781012068
. He	9.28639640562
He is	16.1635184442
is pulling	19.0829312409
pulling pulling	28.4362178003
pulling all	27.0499234392
all kinds	17.4327164286
kinds of	20.209390907
of mischief	17.5361743033
mischief .	26.4204799307
. I	9.04579039047
I do	12.4005896216
do not	14.5398051184
not think	16.6726801053
think he	17.4283927834
he is	14.3315395332
is actually	15.7919980625
actually meaning	26.7235196463
meaning to	21.9548668084
to he	17.0792337286
he just	16.826015634
just does	19.8215291026
does not	15.9263918801
not seem	16.6621931178
seem to	17.9828260867
to does	19.8859554572
does not	15.9263918801
not seem	16.6621931178
seem to	17.9828260867
to know	12.7697417046
know what	15.8820668782
what he	15.6814277542
he is	14.3315395332
is doing	16.235392583
doing .	19.137355541
. And	9.91861258478
And the	16.4617704132
the foreman	16.4166973083
foreman ,	27.0077600628
, of	11.0705528987
of course	11.9256956891
course ,	16.4504312043
, not	11.2951985945
not very	16.2642074761
very pleased	18.8793416182
pleased with	21.6555093911
with this	14.9495768049
this knowing	22.9956845453
knowing and	24.761884344
and um	19.802982287
um getting	30.9262779097
getting himself	23.8233458059
himself into	20.5235349557
into an	17.0827931892
an argument	17.439342478
argument with	22.9181873683
with this	14.9495768049
this little	17.8385467922
little man	20.1550711815
man And	25.9058650442
And the	16.4617704132
the man	12.3499815385
man has	19.7099396871
has now	16.6528877227
now sort	23.8168314708
sort of	16.6291090273
of got	16.8943204171
got rid	19.7963081993
rid of	21.2942130841
of the	8.38603786038
the foreman	16.4166973083
foreman and	27.9240507947
and is	12.6569978193
is starting	17.9412353661
starting to	21.3012734728
to do	11.4332178274
do the	15.9025724787
the same	10.4059490892
same again	20.6082461714
again .	16.3089972735
. And	9.91861258478
And the	16.4617704132
the foreman	16.4166973083
foreman has	30.8991023243
has come	16.80047438
come back	17.5934055969
back and	16.983215139
and is	12.6569978193
is again	17.0297755615
again not	22.2884022155
not very	16.2642074761
very pleased	18.8793416182
pleased and	24.131925996
and just	14.5601776304
just hit	21.3855046409
hit the	20.2047357688
the man	12.3499815385
man .	17.3518386905
. And	9.91861258478
And if	17.3842614413
if this	17.2389744322
this man's	24.07361609
man's problems	36.8
problems were	20.9540762033
were not	15.0289110261
not enough	16.507191193
enough a	23.8666446548
a a	14.8118827253
a a	14.8118827253
a wasp	18.5993927829
wasp has	30.5278134416
has now	16.6528877227
now come	19.9199221032
come along	19.3859571454
along and	20.441626988
and and	14.7745070748
and is	12.6569978193
is distracting	21.4437852421
distracting him	29.5627325456
him from	17.5590827623
from his	14.9289923195
his work	16.3605138812
work and	17.311630006
and he	11.9925890526
he has	14.5647021363
has not	15.7237403488
not got	17.9835764489
got any	18.3530982666
any hands	24.080033978
hands free	23.311348723
free to	19.6077932847
to get	11.7374455298
get rid	18.1777594755
rid of	21.2942130841
of the	8.38603786038
the wasp	17.6990920744
wasp to	30.5278134416
to shoo	20.2914205654
shoo it	33.7761583062
it away	16.3702071562
away .	16.9706442256
. So	10.6390140518
So he	18.8492061333
he is	14.3315395332
is trying	16.3875394367
trying to	17.4365250148
to blow	16.1403806595
blow it	24.3222460879
it away	16.3702071562
away basically	26.054387628
basically ,	23.8313631003
, and	8.45410777288
and another	14.4230849334
another worker	24.3929310721
worker is	23.8440625917
is very	14.1534923596
very com	25.1667593157
com very	32.2563325525
very kindly	20.8567067194
kindly come	29.759346377
come along	19.3859571454
along and	20.441626988
and tries	17.269285473
tries to	22.1918597839
to try	13.4537301608
try and	18.7616676906
and hit	16.1191153747
hit um	27.6740259237
um swat	30.9262779097
swat the	33.685186528
the wasp	17.6990920744
wasp .	28.7932123862
. Then	11.3863555293
Then then	24.4949618423
then we	17.0582391671
we can	14.8283393332
can see	15.9827747319
see him	17.5118160006
him swatting	24.8811812077
swatting the	31.8997190653
the man	12.3499815385
man on	19.58795171
on his	13.8255650823
his nose	17.4014814929
nose .	21.8709506246
. So	10.6390140518
So anyway	21.5688171568
anyway and	22.6440229916
and the	9.96015810702
the man	12.3499815385
man is	19.0796026486
is now	13.8136152848
now trying	20.7257890175
trying to	17.4365250148
to um	20.9845677459
um go	30.9262779097
go back	17.1823982505
back to	15.4704818393
to doing	16.6850173331
doing his	21.097450325
his job	17.2355935891
job and	20.1267134259
and he	11.9925890526
he is	14.3315395332
is getting	16.4865507247
getting in	21.1097554244
in the	9.36353298464
the way	11.2417029297
way of	16.0813672381
of the	8.38603786038
the other	10.8331735591
other 2	22.3821708176
2 men	23.0411392023
men on	20.3941790198
on the	11.1465918865
the production	13.5770640835
production line	22.0631671905
line .	18.8416248967
. And	9.91861258478
And it	16.8683532145
it is	11.8068153819
is all	15.0694420855
all got	18.3921315872
got a	16.1165612288
a bit	12.5663650526
bit too	20.8388160921
too much	16.9202190671
much ,	17.7146082316
, now	12.5049533235
now the	17.4764721671
the foreman	16.4166973083
foreman has	30.8991023243
has now	16.6528877227
now stopped	22.5640685024
stopped the	21.8819033271
the machinery	15.4150998145
machinery and	23.6142832032
and is	12.6569978193
is having	16.8732065008
having is	24.2160194533
is remonstrating	23.0325424105
remonstrating with	31.8997190653
with both	16.3454712397
both the	17.2793761788
the little	13.1605678919
little man	20.1550711815
man and	18.455752014
and the	9.96015810702
the other	10.8331735591
other 2	22.3821708176
2 men	23.0411392023
men on	20.3941790198
on the	11.1465918865
the production	13.5770640835
production line	22.0631671905
line .	18.8416248967
. Oh	10.8703545205
Oh they	19.9543618586
they seem	17.6755715112
seem to	17.9828260867
to come	12.6637139031
come to	16.5269762949
to an	12.791167514
an understanding	17.4333651739
understanding .	21.2429142675
. Well	11.0880697164
Well ,	16.5263056448
, very	12.9769369634
very briefly	20.2674591338
briefly ,	22.8434293781
, as	10.1986358737
as the	12.586954039
the large	13.5162387189
large man	22.5574185344
man is	19.0796026486
is now	13.8136152848
now kicked	25.182445088
kicked the	24.4466497831
the short	13.8889269541
short men	25.9146319537
men in	18.9409089336
in his	12.1298916747
his behind	21.7918069304
behind and	21.3503386139
and the	9.96015810702
the little	13.1605678919
little short	21.414613837
short man	24.2406555202
man has	19.7099396871
has responded	19.9405083263
responded in	25.1041810894
in kind	16.7150579144
kind and	20.9219119167
and on	13.1711122706
on the	11.1465918865
the same	10.4059490892
same .	18.0437127009
. And	9.91861258478
And we	17.5684581159
we have	14.3628080201
have now	16.5607437811
now switched	23.1236842903
switched the	24.5745701073
the game	12.9065691497
game to	21.6575522746
to the	9.51585891964
the the	13.0829298908
the topless	18.8517715844
topless man	32.0585068092
man who	17.4179897901
who is	15.7681261832
is receiving	18.57588634
receiving orders	27.1644609085
orders over	26.053899805
over the	14.6245230143
the big	12.9993296697
big screen	22.5404902019
screen from	26.1956509172
from his	14.9289923195
his boss	18.9520789053
boss .	23.1553049321
. And	9.91861258478
And he	16.9581541072
he is	14.3315395332
is now	13.8136152848
now responding	25.182445088
responding by	27.7205082824
by pulling	19.441880871
pulling some	28.0307526922
some levers	23.8422307181
levers and	28.319180755
and turning	16.4960955848
turning some	25.9830165503
some on	19.8719388046
on the	11.1465918865
the same	10.4059490892
same set	21.253891018
set of	17.4122507452
of machinery	16.7032651803
machinery he	29.0700660112
he was	12.913561202
was using	17.3154159126
using before	26.7987437112
before .	16.9935004128
. So	10.6390140518
So now	20.3919526712
now back	20.6922663255
back to	15.4704818393
to the	9.51585891964
the production	13.5770640835
production line	22.0631671905
line and	20.0783117089
and the	9.96015810702
the man	12.3499815385
man is	19.0796026486
is carrying	18.2910492197
carrying on	22.0616572845
on with	15.456716755
with his	13.9961651867
his work	16.3605138812
work .	16.1557798734
. The	8.06494629967
The little	17.2133051756
little short	21.414613837
short man	24.2406555202
man with	18.6139922901
with the	11.7421194262
the curly	18.5640895119
curly hair	25.9361764466
hair and	20.1354933388
and mustache	22.084886636
mustache that	34.2023041583
that is	12.9211771339
is him	20.0087007168
him and	16.2520627957
and has	13.4115678125
has handed	20.9291197197
handed over	22.092287828
over his	17.2911150596
his tools	20.275459441
tools to	23.8350646202
to another	13.8383206387
another man	19.9133241091
man and	18.455752014
and is	12.6569978193
is now	13.8136152848
now walking	22.3699124879
walking along	22.6914952173
along in	21.3408232866
in a	10.8696894514
a sort	14.5465479516
sort of	16.6291090273
of robotic	20.3087630255
robotic clockwork	32.7263361817
clockwork fashion	32.2357132653
fashion and	23.2332380189
and bouncing	19.2723540359
bouncing around	28.2542691691
around in	19.3012392924
in a	10.8696894514
a funny	16.0363213603
funny way	24.7953871745
way away	20.2806176672
away from	16.7425988668
from the	12.2188960053
the production	13.5770640835
production line	22.0631671905
line towards	23.8802848583
towards his	20.7835613192
his clocking	23.9683507638
clocking in	30.5010021842
in sheet	19.6119443533
sheet where	27.8884973463
where he	16.6597656767
he is	14.3315395332
is clocked	21.2614636853
clocked out	31.478346492
out and	15.9372752161
and is	12.6569978193
is now	13.8136152848
now going	19.9508524039
going towards	21.5807896715
towards the	17.4579548129
the bathroom	14.291773117
bathroom where	26.5716002075
where he	16.6597656767
he decides	19.5210181197
decides to	24.2103479578
to smoke	16.4996837258
smoke a	25.038703554
a cigarette	15.7547670468
cigarette .	23.3622233715
. So	10.6390140518
So he	18.8492061333
he is	14.3315395332
is perched	20.2806344322
perched himself	28.6768512192
himself on	20.4396806453
on a	12.7055401863
a wash	17.5007804942
wash basin	25.4967008402
basin and	25.604980351
and is	12.6569978193
is having	16.8732065008
having a	18.139524657
a nice	14.3519433837
nice relaxing	26.7829235754
relaxing smoke	30.3391036147
smoke .	22.3324567799
. He	9.28639640562
He has	16.5009975237
has been	13.4343072085
been interrupted	20.9391874047
interrupted by	23.9987675704
by the	12.0067458549
the Boss	18.6286280331
Boss who	31.3484100703
who also	18.0632065505
also has	17.88373274
has a	14.783660755
a screen	16.7484444423
screen installed	28.3721947505
installed in	23.3825858757
in in	15.1783303499
in in	15.1783303499
in the	9.36353298464
the bathroom	14.291773117
bathroom creepily	29.115868821
creepily enough	35.2112428315
enough and	20.4774234642
and told	14.9377581957
told him	18.1296848882
him to	15.5434464616
to go	11.8942504165
go back	17.1823982505
back to	15.4704818393
to work	12.6952794229
work .	16.1557798734
. So	10.6390140518
So he	18.8492061333
he takes	17.857512986
takes his	22.4019536182
his clocking	23.9683507638
clocking in	30.5010021842
in card	20.6533982282
card ,	22.0435185572
, clocks	18.4671787541
clocks back	29.1316046235
back in	16.7389655681
in and	13.7232293543
and returns	17.4708383918
returns rather	28.9843109834
rather shamefacedly	25.145414711
shamefacedly to	33.9874673999
to work	12.6952794229
work .	16.1557798734
. So	10.6390140518
So he	18.8492061333
he is	14.3315395332
is going	14.7354569878
going towards	21.5807896715
towards the	17.4579548129
the production	13.5770640835
production line	22.0631671905
line now	23.9343520795
now and	17.3584931875
and trying	15.8929612842
trying to	17.4365250148
to find	12.4941977685
find somewhere	21.4696268919
somewhere he	25.4156292346
he can	15.5470641566
can stand	18.9905375223
stand and	21.9989075903
and continue	16.1575323908
continue with	21.4287747094
with his	13.9961651867
his work	16.3605138812
work .	16.1557798734
. This	9.75560009318
This other	22.4597283571
other man	19.1756790519
man working	22.7484919578
working very	22.2935936193
very ,	18.0227196809
, very	12.9769369634
very busily	24.088827771
busily beside	31.344217192
beside him	21.6252592641
him looking	20.8414189411
looking as	21.7472712422
as if	13.9929068936
if he	15.3226405556
he does	15.4622527609
does not	15.9263918801
not want	16.0909357549
want to	15.6782607868
to be	9.93973307416
be disturbed	18.4684715267
disturbed .	24.2998171061
. And	9.91861258478
And ,	17.1981379541
, of	11.0705528987
of course	11.9256956891
course ,	16.4504312043
, he	10.2679170618
he is	14.3315395332
is been	21.1073130054
been disturbed	20.4219308906
disturbed by	23.8615621752
by the	12.0067458549
the little	13.1605678919
little man	20.1550711815
man of	18.526536271
of who	15.7913317538
who has	15.9392116667
has been	13.4343072085
been filing	23.6800274286
filing his	29.3660222513
his nails	20.4925239463
nails next	30.0339637933
next to	18.3121507325
to him	12.7117417423
him which	20.0343275012
which seems	17.8255742677
seems to	17.6983557609
to be	9.93973307416
be causing	19.3317697284
causing some	24.9045810497
some disturbance	22.542947734
disturbance .	25.3998031393
. All	11.3532591651
All right	19.1403433725
right ,	16.3813727698
, so	10.8245788939
so the	16.3165542117
the man	12.3499815385
man is	19.0796026486
is now	13.8136152848
now the	17.4764721671
the little	13.1605678919
little man	20.1550711815
man has	19.7099396871
has now	16.6528877227
now grabbed	25.182445088
grabbed the	23.9206933306
the big	12.9993296697
big the	23.0023082466
the larger	14.0546045761
larger man's	27.9142873369
man's tools	36.8
tools and	22.8775309298
and is	12.6569978193
is now	13.8136152848
now going	19.9508524039
going back	18.6456820198
back to	15.4704818393
to the	9.51585891964
the job	12.8965820931
job he	21.9837268092
he was	12.913561202
was doing	15.5140131671
doing previously	26.5982304989
previously on	24.8562472828
on the	11.1465918865
the production	13.5770640835
production line	22.0631671905
line .	18.8416248967
. All	11.3532591651
All right	19.1403433725
right ,	16.3813727698
, so	10.8245788939
so he	16.7701572717
he is	14.3315395332
is now	13.8136152848
now cut	22.1586033942
cut away	22.5196232606
away to	18.8096386487
to the	9.51585891964
the Boss	18.6286280331
Boss '	31.3484100703
' office	36.8
office .	19.2432954259
. And	9.91861258478
And he	16.9581541072
he has	14.5647021363
has just	17.0943828083
just been	18.0904911591
been by	19.8192977176
by his	15.0810226608
his secretary	18.6758255287
secretary and	23.0565080952
and in	11.9792563273
in come	19.3096634815
come a	19.9416187961
a group	13.8159743655
group of	17.5999470063
of 3	15.9044857819
3 men	23.9799629546
men .	18.3781012068
. One	11.070047807
One man	21.0265286614
man in	18.158858511
in a	10.8696894514
a suit	16.8449047085
suit and	22.6271083676
and a	11.1868491477
a briefcase	18.4417638387
briefcase which	31.0246229932
which seems	17.8255742677
seems to	17.6983557609
to contain	15.34502754
contain some	23.7260166832
some kind	17.3719473434
kind of	17.1031326562
of musical	16.3460469058
musical box	27.1237217019
box and	21.7581087127
and the	9.96015810702
the other	10.8331735591
other 2	22.3821708176
2 men	23.0411392023
men with	20.219019912
with a	12.2364175963
a large	13.002688649
large piece	22.3510821014
piece of	19.0667772724
of machinery	16.7032651803
machinery that	25.7949098891
that looks	17.1753790848
looks like	20.0601543453
like it	16.7596422659
it might	14.7459014168
might be	16.214980965
be some	16.1064630132
some kind	17.3719473434
kind of	17.1031326562
of new	13.5333969346
new invention	22.2267800923
invention judging	29.9341491014
judging by	25.0210101484
by the	12.0067458549
the way	11.2417029297
way they	18.1409080735
they are	13.7669087777
are standing	19.0946692692
standing there	21.7255884257
there proudly	24.4541828592
proudly presenting	30.4055837848
presenting it	26.2488602861
it to	13.6938784318
to the	9.51585891964
the rather	15.1042302176
rather bewildered	24.8577326386
bewildered Boss	30.6141048172
Boss .	28.5358774702
. So	10.6390140518
So the	18.327861318
the Boss	18.6286280331
Boss is	30.2704785256
is looking	16.3636238853
looking at	18.0262965025
at them	16.3351977487
them .	14.4703909743
. They	10.0670927335
They are	16.5223721842
are looking	16.7008406958
looking at	18.0262965025
at the	11.9096336813
the Boss	18.6286280331
Boss .	28.5358774702
. And	9.91861258478
And nothing	20.7963837763
nothing much	21.3956465411
much seems	22.9079923416
seems to	17.6983557609
to be	9.93973307416
be happening	18.4350235926
happening .	21.8254913454
. That	10.6275707015
That is	17.1988787907
is all	15.0694420855
all .	15.0586307885
. Ah	12.8961259565
Ah ,	20.3512583791
, there	10.9842303975
there seems	18.2743544291
seems to	17.6983557609
to be	9.93973307416
be some	16.1064630132
some kind	17.3719473434
kind of	17.1031326562
of exchange	15.7423336679
exchange .	21.8703593775
. And	9.91861258478
And now	18.0526154926
now the	17.4764721671
the man	12.3499815385
man in	18.158858511
in the	9.36353298464
the suit	15.823249488
suit is	24.6661089397
is presenting	19.4423052418
presenting this	27.6034059489
this piece	18.7190184263
piece of	19.0667772724
of machinery	16.7032651803
machinery .	23.3381741163
. He	9.28639640562
He has	16.5009975237
has taken	16.819783923
taken what	23.6928918634
what seems	19.5333844925
seems like	21.5732558513
like the	15.6394517919
the lid	15.0285797927
lid off	26.0920485872
off it	19.5490757473
it and	14.2320042316
and it	11.8170215291
it seems	14.7517384148
seems to	17.6983557609
to be	9.93973307416
be rotating	22.0726097523
rotating .	29.3971128384
. It	9.09873413507
It is	13.6332119098
is quite	14.9680444064
quite hard	21.3605545594
hard to	18.3288729084
to see	11.8777007824
see what	16.9759628192
what is	15.5338183366
is actually	15.7919980625
actually on	21.8843879859
on it	14.6255870197
it but	16.1114195498
but it	14.152694403
it looks	15.8987541559
looks all	24.0409349004
all very	17.6797991659
very complex	19.899173029
complex and	21.0700896063
and very	14.3868818848
very advanced	21.786242678
advanced .	23.5631026679
. So	10.6390140518
So they	19.137654783
they are	13.7669087777
are still	15.3813149963
still showing	23.3070103214
showing it	23.9079334905
it to	13.6938784318
to the	9.51585891964
the Boss	18.6286280331
Boss who	31.3484100703
who is	15.7681261832
is looking	16.3636238853
looking not	23.5456752542
not too	16.3520381895
too convinced	25.7378000061
convinced by	24.1507414877
by what	16.7677322216
what he	15.6814277542
he is	14.3315395332
is seeing	19.1019794359
seeing .	23.3564446788
. There	10.0851222263
There seems	19.7841638318
seems to	17.6983557609
to be	9.93973307416
be in	14.2888650382
in factum	22.4244769534
factum underneath	33.1318012898
underneath the	23.4407968391
the lid	15.0285797927
lid that	28.3112520712
that is	12.9211771339
is been	21.1073130054
been taken	16.8167466397
taken off	20.2589046589
off ,	17.414148467
, there	10.9842303975
there seems	18.2743544291
seems to	17.6983557609
to be	9.93973307416
be a	13.0624290953
a series	13.6214822731
series of	18.3538953739
of of	15.3656930509
of plates	17.5874675977
plates that	26.566206936
that can	14.6130207075
can be	13.6215435174
be rotated	19.9325435888
rotated looks	31.5223633774
looks like	20.0601543453
like it	16.7596422659
it might	14.7459014168
might be	16.214980965
be some	16.1064630132
some kind	17.3719473434
kind of	17.1031326562
of futuristic	21.2250537574
futuristic dining	32.1293328617
dining table	24.6648000457
table perhaps	27.2622925347
