Ngram	Surprisal
the other	10.8331735591
other one	17.8446208193
one is	16.3117235527
is still	14.1475075757
still working	20.2453200801
working .	19.7559877375
. And	9.91861258478
And the	16.4617704132
the person	12.9686813491
person who	18.9161368036
who is	15.7681261832
is supposed	16.5685879189
supposed to	19.6971691889
to help	12.7732658577
help ,	19.093949457
, has	11.8191491186
has to	15.2026792212
to do	11.4332178274
do all	17.6242040248
all the	13.8126642091
the work	12.2594122164
work while	21.4282394752
while he	18.5932136463
he is	14.3315395332
is picking	19.3643437004
picking on	25.3395171929
on his	13.8255650823
his nails	20.4925239463
nails .	25.0506982314
. Now	11.3121191297
Now he	19.7855880865
he is	14.3315395332
is going	14.7354569878
going starts	25.7796166327
starts working	27.1796907519
working again	22.8307365513
again And	25.9312831177
And the	16.4617704132
the secretary	15.1361690601
secretary comes	28.3139420104
comes in	20.0779072573
in to	14.2575803018
to the	9.51585891964
the boss	15.2964235229
boss again	28.2019506638
again to	18.8347583585
to the	9.51585891964
the president	14.3236624445
president .	22.4348992789
. And	9.91861258478
And there	17.5339261323
there other	20.9485030785
other persons	19.8595238398
persons coming	27.9189698906
coming into	20.5894680798
into the	14.0021324625
the president's	21.3159974902
president's office	36.8
office with	22.0382547493
with some	15.0222159885
some equipment	21.9964040276
equipment and	21.1563469303
and the	9.96015810702
the boss	15.2964235229
boss looks	28.8744171004
looks puzzled	26.1810010639
puzzled and	25.7857208798
and it	11.8170215291
it is	11.8068153819
is a	11.7921622691
a record	14.848455015
record playing	27.2830530449
playing something	25.8176958688
something it	21.6903868125
it is	11.8068153819
is a	11.7921622691
a feeding	18.9807603394
feeding machine	29.1558649587
machine which	22.9106169181
which will	15.1795690193
will ...	24.4104353605
... So	36.8
So that	18.4409352587
that the	11.2088638728
the workers	14.637177894
workers not	24.2451573624
not have	14.6688827012
have to	13.1484810531
to stop	13.539734472
stop for	22.2142631522
for lunch	16.7787720673
lunch .	21.6429548364
. They	10.0670927335
They can	18.1888136655
can be	13.6215435174
be fed	18.0698323836
fed while	28.3249686167
while their	20.5555986326
their working	19.086908369
working which	23.8041856971
which saves	20.8252985625
saves hours	30.3654821806
hours .	19.1388102811
. And	9.91861258478
And they	17.3500102568
they explain	20.8568253443
explain how	21.958700069
how ,	18.8042747772
, how	12.6084940025
how it	17.6106853646
it works	16.801314695
works and	21.4082254275
and some	13.3781132631
some plates	22.3758936493
plates on	25.3244938037
on the	11.1465918865
the machine	13.8278910635
machine ...	27.8025910598
... And	36.8
And the	16.4617704132
the workers	14.637177894
workers can	23.0239427517
can use	17.1856372595
use the	17.1817275067
the tip	14.7714132641
tip of	22.5958740386
of their	11.5990339549
their tongue	21.9443359712
tongue to	25.0315514239
to adjust	15.720151931
adjust the	24.556939876
the speed	14.3022903042
speed And	27.9563580214
And they	17.3500102568
they say	16.4205290796
say that	16.5570046482
that if	14.0359039719
if he	15.3226405556
he uses	18.240856177
uses this	24.0939475927
this machine	19.3068050912
machine he	25.2583224463
he will	15.3413031867
will get	17.0844609412
get rid	18.1777594755
rid of	21.2942130841
of his	11.1933049249
his competition	22.3795935953
competition .	20.597635803
. And	9.91861258478
And now	18.0526154926
now ,	15.7939346012
, back	14.5261080632
back to	15.4704818393
to the	9.51585891964
the workers	14.637177894
workers again	26.6875043978
again they	21.069161939
they are	13.7669087777
are doing	16.5710857813
doing their	21.0855217542
their work	16.9533366516
work and	17.311630006
and the	9.96015810702
the conveyor	18.004473724
conveyor belt	27.8250914198
belt stops	29.2848502812
stops .	24.0850742504
. And	9.91861258478
And the	16.4617704132
the worker	15.7162773684
worker continues	28.6909162982
continues to	21.1595169069
to do	11.4332178274
do the	15.9025724787
the move	14.0712485109
move movements	26.9538053099
movements One	28.4785554806
One of	17.4136906713
of the	8.38603786038
the workers	14.637177894
workers pours	27.3599708344
pours something	32.0585068092
something into	22.1405878145
into a	15.0253969941
a bowl	15.9832439441
bowl And	29.1662375175
And the	16.4617704132
the other	10.8331735591
other worker	23.5608258139
worker almost	28.6909162982
almost sits	26.5560283422
sits down	25.4829867828
down on	17.1136786093
on his	13.8255650823
his bowl	20.6931946417
bowl this	29.1662375175
this and	16.324495838
and spills	18.6715801755
spills everything	31.3869587404
everything else	20.4590932086
else so	23.8562254677
so ,	15.6391187305
, his	11.7140479514
his soup	20.94450907
soup or	26.6249993753
or what	16.8862761283
what it	15.8979002042
it was	11.8577955558
was disappears	23.135376826
disappears .	26.3601376063
. And	9.91861258478
And then	16.6886818524
then he	17.012117686
he sits	19.3788436309
sits down	25.4829867828
down the	15.9352298623
the other	10.8331735591
other worker	23.5608258139
worker sits	28.6909162982
sits down	25.4829867828
down on	17.1136786093
